,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
81,shingu,12,JP,1532385183,87,33.72,135.99,84.98,1.05
82,gafanha da encarnacao,40,PT,1532383200,88,40.62,-8.73,66.2,8.05
83,kieta,88,PG,1532385183,100,-6.22,155.63,79.4,2.62
84,tawau,75,MY,1532383200,94,4.26,117.89,75.2,2.95
85,rio cuarto,0,AR,1532383200,33,-33.13,-64.35,42.8,5.82
86,minot,1,US,1532382960,26,48.23,-101.3,82.4,12.75
87,nikolskoye,88,RU,1532383200,94,59.7,30.79,69.8,2.73
88,bonfim,0,BR,1532379600,49,-20.33,-44.24,69.8,9.17
89,saint-philippe,90,CA,1532383200,74,45.36,-73.48,80.6,10.29
90,inhambane,92,MZ,1532385186,92,-23.87,35.38,68.24,10.67
91,mabaruma,56,GY,1532385187,89,8.2,-59.78,79.76,7.65
92,prado,44,BR,1532385187,98,-17.34,-39.22,75.89,15.7
93,victoria point,0,AU,1532383200,87,-27.58,153.3,62.6,8.05
94,portland,20,US,1532382780,24,45.52,-122.67,93.2,10.29
95,grand-santi,48,GF,1532385188,88,4.27,-54.38,76.7,4.97
96,sayyan,48,YE,1532385189,97,15.17,44.32,51.95,1.5
97,iskateley,0,RU,1532385189,60,67.68,53.15,63.11,11.23
98,juneau,20,US,1532382960,47,58.3,-134.42,75.2,9.17
99,hithadhoo,92,MV,1532385189,100,-0.6,73.08,77.69,9.22
100,san carlos de bariloche,0,AR,1532383200,69,-41.13,-71.31,33.8,1.72
101,tias,20,ES,1532383200,78,28.96,-13.65,71.6,14.99
102,vostok,12,RU,1532385191,99,46.45,135.83,70.58,2.73
103,demyansk,0,RU,1532385191,89,57.64,32.46,62.48,6.2
104,albany,75,US,1532384280,78,42.65,-73.75,78.8,9.17
105,kalabo,0,ZM,1532385192,62,-15.0,22.67,59.33,11.45
106,pangnirtung,75,CA,1532383200,75,66.15,-65.72,46.4,20.8
107,tual,88,ID,1532385192,99,-5.67,132.75,79.13,12.46
108,vaini,92,IN,1532385193,98,15.34,74.49,70.58,6.98
109,mangrol,92,IN,1532385193,99,25.33,76.51,74.0,7.99
110,smithers,75,CA,1532383200,35,54.78,-127.17,73.4,2.24
111,soligalich,88,RU,1532385194,66,59.08,42.29,63.38,8.21
112,san policarpo,80,PH,1532385194,96,12.18,125.51,82.55,14.14
113,kodiak,1,US,1532382780,45,39.95,-94.76,86.0,11.41
114,kununurra,0,AU,1532383200,81,-15.77,128.74,51.8,2.24
115,sao felix do xingu,76,BR,1532385195,47,-6.64,-51.99,85.25,3.74
116,pevek,56,RU,1532385196,60,69.7,170.27,60.32,20.51
117,ankang,0,CN,1532385196,70,32.73,108.99,79.13,2.62
118,san borja,0,BO,1532385196,61,-14.86,-66.75,74.18,4.85
119,chaman,0,AF,1532385197,32,30.92,66.46,61.85,2.73
120,agadez,12,NE,1532385197,35,16.97,7.99,81.65,7.87
121,east london,32,ZA,1532385197,89,-33.02,27.91,71.57,12.46
122,shemonaikha,36,KZ,1532385198,92,50.63,81.92,47.9,3.62
123,ust-nera,64,RU,1532385198,72,64.57,143.24,57.71,2.62
124,faanui,36,PF,1532385198,98,-16.48,-151.75,80.57,12.91
125,bathsheba,40,BB,1532383200,74,13.22,-59.52,82.4,20.8
126,ucluelet,5,CA,1532383200,82,48.94,-125.55,62.6,8.05
127,mattru,100,SL,1532385199,93,7.62,-11.83,74.0,3.4
128,iqaluit,40,CA,1532383200,61,63.75,-68.52,48.2,19.46
129,lebu,75,ET,1532383200,93,8.96,38.73,57.2,4.7
130,padang,80,ID,1532385201,100,-0.92,100.36,79.85,1.05
131,bekhtery,32,UA,1532385201,93,46.25,32.3,69.95,5.3
132,haines junction,0,CA,1532385201,26,60.75,-137.51,72.74,4.29
133,santiago,0,CL,1532383200,19,-33.44,-70.65,59.0,1.39
134,okha,8,RU,1532385202,89,53.59,142.95,59.15,8.21
135,geraldton,75,CA,1532383200,47,49.72,-86.95,80.6,2.24
136,trinidad,0,UY,1532379600,65,-33.52,-56.9,46.4,9.17
137,lazaro cardenas,5,MX,1532382180,17,28.39,-105.62,100.4,10.29
138,fortuna,0,ES,1532383200,73,38.18,-1.13,75.2,3.36
139,narsaq,40,GL,1532382600,33,60.91,-46.05,62.6,3.36
140,nalut,0,LY,1532385204,37,31.86,10.98,81.29,8.1
141,butaritari,32,KI,1532385205,100,3.07,172.79,83.09,6.76
142,yaval,92,IN,1532385205,95,21.17,75.7,74.9,10.22
143,san quintin,75,PH,1532383200,100,17.54,120.52,77.0,4.7
144,codrington,0,AU,1532385206,74,-28.95,153.24,59.87,3.74
145,chokurdakh,80,RU,1532385206,85,70.62,147.9,45.2,17.72
146,tihuatlan,5,MX,1532382120,53,20.72,-97.54,95.0,9.17
147,kruisfontein,8,ZA,1532385207,48,-34.0,24.73,69.5,11.9
148,bilma,0,NE,1532385110,17,18.69,12.92,76.61,3.96
149,amga,80,RU,1532385207,74,60.89,131.98,60.32,3.62
150,esperance,75,TT,1532383200,88,10.24,-61.45,80.6,6.93
151,hilo,90,US,1532382960,78,19.71,-155.08,80.6,10.29
152,caiaponia,0,BR,1532385208,38,-16.96,-51.81,73.64,11.45
153,namatanai,32,PG,1532385208,100,-3.66,152.44,81.56,15.37
154,namibe,0,AO,1532385209,98,-15.19,12.15,66.98,12.46
155,thompson,90,CA,1532383200,93,55.74,-97.86,62.6,2.24
156,kahului,40,US,1532384040,55,20.89,-156.47,91.4,12.75
157,veraval,0,FR,1532383200,72,49.65,0.71,66.2,5.82
158,srandakan,12,ID,1532385210,84,-7.94,110.25,71.93,3.74
159,pljevlja,90,ME,1532383200,100,43.36,19.36,59.0,9.17
160,tigre,0,AR,1532383200,66,-34.42,-58.58,48.2,6.64
161,bairnsdale,0,AU,1532385211,68,-37.83,147.63,55.19,8.1
162,campbell river,20,CA,1532383200,35,50.02,-125.24,84.2,6.93
163,honningsvag,75,NO,1532382600,76,70.98,25.97,55.4,13.87
164,sisimiut,80,GL,1532385212,70,66.94,-53.67,45.29,7.43
165,clyde river,75,CA,1532383200,83,70.47,-68.59,35.6,40.26
166,vila velha,0,BR,1532383200,74,-3.71,-38.6,78.8,9.17
167,ancud,0,CL,1532385213,87,-41.87,-73.83,36.83,4.63
168,camopi,56,GF,1532385213,91,3.17,-52.33,75.35,2.62
169,shimoda,88,JP,1532385214,90,34.7,138.93,80.12,8.32
170,trincomalee,0,LK,1532385214,81,8.58,81.23,78.68,13.47
171,emporia,1,US,1532382780,36,38.4,-96.18,91.4,13.87
172,nador,68,MA,1532383200,88,35.17,-2.93,73.4,4.7
173,srednekolymsk,68,RU,1532385215,70,67.46,153.71,67.25,3.29
174,cabo san lucas,5,MX,1532382720,39,22.89,-109.91,98.6,4.7
175,killybegs,92,IE,1532385216,100,54.63,-8.45,57.17,4.29
176,chara,75,GR,1532382600,56,39.42,22.43,73.4,9.17
177,axim,64,GH,1532385216,97,4.87,-2.24,77.96,11.68
178,labuhan,88,ID,1532385217,88,-2.54,115.51,75.35,3.18
179,sao filipe,68,CV,1532385217,96,14.9,-24.5,76.97,6.64
180,sitka,32,US,1532385217,41,37.17,-99.65,92.36,8.55
181,egvekinot,36,RU,1532385218,71,66.32,-179.17,58.43,4.85
182,monte patria,0,CL,1532385218,78,-30.69,-70.96,40.97,1.72
183,mirnyy,44,RU,1532385218,85,56.57,36.46,62.93,10.45
184,quatre cocos,75,MU,1532383200,60,-20.21,57.76,71.6,18.34
185,sungairaya,36,ID,1532385219,86,0.7,108.9,80.57,4.74
186,vardo,75,US,1532382900,83,39.62,-77.74,82.4,6.93
187,belmonte,0,PT,1532385220,91,40.36,-7.35,58.88,2.73
188,tuktoyaktuk,20,CA,1532383200,60,69.44,-133.03,75.2,13.87
189,mizan teferi,76,ET,1532385221,71,6.99,35.58,65.99,2.28
190,malindi,92,KE,1532385221,92,-3.22,40.12,74.63,20.29
191,sioux lookout,75,CA,1532383200,44,50.1,-91.92,80.6,8.05
192,asadabad,76,IR,1532385222,62,34.78,48.12,57.71,1.95
193,bougouni,8,ML,1532385222,94,11.42,-7.49,71.84,7.87
194,rockingham,0,GB,1532384400,68,52.52,-0.72,73.4,10.29
195,coahuayana,36,MX,1532385223,41,18.62,-100.35,86.87,2.39
196,along,56,IN,1532385223,93,28.17,94.8,69.05,1.72
197,grand gaube,75,MU,1532383200,60,-20.01,57.66,71.6,18.34
198,jamestown,0,AU,1532385224,62,-33.21,138.6,53.57,14.81
199,kavieng,12,PG,1532385019,100,-2.57,150.8,82.73,7.2
200,aksarka,0,RU,1532385224,58,66.56,67.8,67.43,4.52
201,fayaoue,0,NC,1532385225,100,-20.65,166.53,71.03,11.9
202,tomatlan,88,MX,1532385225,91,19.93,-105.25,79.85,3.06
203,praia,0,BR,1532383200,59,-20.25,-43.81,69.8,8.05
204,ilulissat,75,GL,1532382600,76,69.22,-51.1,50.0,13.87
205,faya,0,SA,1532383200,68,18.39,42.45,68.0,3.36
206,izumo,0,JP,1532383200,74,35.37,132.75,84.2,4.7
207,banda aceh,8,ID,1532385227,96,5.56,95.32,75.62,3.96
208,washougal,1,US,1532382780,26,45.58,-122.35,93.2,6.93
209,yatou,75,CM,1532383200,94,3.63,9.81,78.8,2.24
210,bambous virieux,75,MU,1532383200,60,-20.34,57.76,71.6,18.34
211,xuddur,56,SO,1532385229,71,4.12,43.89,71.3,13.58
212,new norfolk,40,AU,1532383200,57,-42.78,147.06,50.0,9.17
213,san patricio,92,PY,1532385229,80,-26.98,-56.83,54.65,8.1
214,port hawkesbury,1,CA,1532383200,61,45.62,-61.36,82.4,11.41
215,ribeira grande,44,PT,1532385230,100,38.52,-28.7,71.3,16.04
216,ketchikan,1,US,1532383140,64,55.34,-131.65,71.6,8.05
217,roebourne,0,AU,1532385231,46,-20.77,117.15,59.06,4.63
218,shubarshi,0,KZ,1532385231,45,48.59,57.19,57.62,10.67
219,nanortalik,0,GL,1532385231,95,60.14,-45.24,39.8,3.74
220,provideniya,90,RU,1532383200,93,64.42,-173.23,51.8,2.24
221,cape coast,80,GH,1532385232,88,5.11,-1.24,75.62,6.08
222,nouadhibou,44,MR,1532383200,77,20.93,-17.03,69.8,12.75
223,yeppoon,20,AU,1532383200,93,-23.13,150.74,53.6,2.24
224,bundi,92,IN,1532385232,98,25.44,75.64,73.73,3.18
225,cherskiy,76,RU,1532385233,36,68.75,161.3,71.21,10.0
226,takoradi,92,GH,1532385233,97,4.89,-1.75,77.06,8.77
227,iberia,0,PE,1532385233,73,-11.41,-69.49,74.81,3.62
228,bud,92,NO,1532384400,93,62.91,6.91,59.0,2.24
229,shizuishan,0,CN,1532385234,97,39.02,106.36,62.75,3.29
230,sukhobezvodnoye,88,RU,1532385234,50,57.05,44.89,63.83,7.09
231,cayenne,90,GF,1532383200,94,4.94,-52.33,78.8,4.7
232,saint-georges,80,CA,1532385235,77,46.12,-70.67,74.36,4.97
233,omboue,88,GA,1532385236,100,-1.57,9.26,72.74,10.45
234,mar del plata,0,AR,1532385236,58,-46.43,-67.52,47.63,14.7
235,vung tau,40,VN,1532381400,100,10.35,107.08,80.6,9.17
236,makakilo city,40,US,1532383020,74,21.35,-158.09,86.0,9.17
237,belle fourche,1,US,1532382900,38,44.67,-103.85,80.6,13.87
238,havre-saint-pierre,40,CA,1532383200,88,50.23,-63.6,64.4,12.75
239,shache,0,CN,1532385239,58,38.42,77.24,76.25,1.72
240,kloulklubed,90,PW,1532382720,88,7.04,134.26,78.8,3.36
241,cururupu,12,BR,1532385239,86,-1.82,-44.87,78.5,3.96
242,lar,0,IR,1532379600,26,27.66,54.32,91.4,1.83
243,poum,80,MK,1532385240,100,41.28,20.71,54.92,1.95
244,primorsk,8,RU,1532385241,98,60.37,28.62,66.62,3.4
245,sholokhovskiy,20,RU,1532385241,90,48.28,41.05,65.63,2.84
246,caravelas,8,BR,1532385241,100,-17.73,-39.27,75.71,15.03
247,payo,0,ID,1532385242,88,-3.75,103.64,74.18,4.29
248,mocuba,36,MZ,1532385242,88,-16.84,36.99,63.02,6.08
249,meadow lake,75,CA,1532383200,63,54.13,-108.44,62.6,16.11
250,isangel,0,VU,1532385243,100,-19.55,169.27,71.57,13.47
251,berlevag,75,NO,1532382600,76,70.86,29.09,55.4,13.87
252,san juan,0,AR,1532385182,59,-31.54,-68.53,31.43,2.17
253,lashio,92,MM,1532385245,99,22.93,97.75,68.15,2.17
254,saldanha,0,PT,1532385245,79,41.42,-6.55,62.39,3.96
255,aykino,0,RU,1532385245,77,62.22,49.99,56.45,2.84
256,mporokoso,0,ZM,1532385246,63,-9.37,30.12,56.27,12.68
257,ahipara,44,NZ,1532385246,99,-35.17,173.16,53.39,3.96
258,haapiti,20,PF,1532383200,62,-17.57,-149.87,84.2,6.93
259,nome,1,US,1532384100,47,30.04,-94.42,98.6,9.17
260,limon,20,US,1532382900,64,39.26,-103.69,73.4,12.75
261,dingle,12,PH,1532385247,87,11.0,122.67,82.01,8.99
262,saint george,75,GR,1532382600,56,39.45,22.34,73.4,9.17
263,ibra,64,OM,1532385248,58,22.69,58.55,81.56,1.95
264,inuvik,20,CA,1532383200,30,68.36,-133.71,86.0,11.41
265,paita,0,PE,1532379600,83,-5.09,-81.11,75.2,13.87
266,kiama,0,AU,1532379600,65,-34.67,150.86,46.4,4.7
267,tuatapere,8,NZ,1532385249,100,-46.13,167.69,42.68,11.68
268,cornwall,1,CA,1532384100,62,45.02,-74.73,87.8,6.93
269,colesberg,24,ZA,1532385250,82,-30.72,25.1,39.71,5.19
270,shelby,1,US,1532382960,18,48.51,-111.86,82.4,3.4
271,huanren,20,CN,1532385251,83,41.26,125.37,80.3,2.95
272,solnechnyy,36,RU,1532385251,80,50.72,136.64,74.72,3.62
273,vestmannaeyjar,80,IS,1532385252,100,63.44,-20.27,48.8,5.19
274,port elizabeth,90,US,1532384280,78,39.31,-74.98,80.6,10.29
275,upernavik,80,GL,1532385252,92,72.79,-56.15,40.07,11.9
276,carnduff,0,CA,1532385252,33,49.17,-101.8,76.52,16.04
277,warwick,75,US,1532382960,83,41.7,-71.42,84.2,11.41
278,lata,76,IN,1532385253,100,30.78,78.62,60.32,1.05
279,loa janan,80,ID,1532385253,87,-0.58,117.09,80.12,2.95
280,lisala,88,CD,1532385254,94,2.15,21.52,72.02,2.62
281,tabou,64,CI,1532385254,100,4.42,-7.36,78.41,10.11
282,kuvandyk,0,RU,1532385254,83,51.48,57.35,51.32,4.97
283,verkhovye,92,RU,1532385255,100,52.81,37.24,64.1,7.99
284,beloha,0,MG,1532385255,74,-25.17,45.06,60.86,9.89
285,constitucion,40,MX,1532382120,15,23.99,-104.67,89.6,3.36
286,port hardy,75,CA,1532383200,82,50.7,-127.42,60.8,9.17
287,olden,75,NO,1532380800,100,61.84,6.81,59.0,3.36
288,severnoye,12,RU,1532385256,88,54.09,52.54,51.32,3.18
289,mombetsu,0,JP,1532385257,88,44.35,143.35,59.87,2.17
290,antofagasta,90,CL,1532383200,71,-23.65,-70.4,57.2,8.05
291,boksitogorsk,0,RU,1532385257,85,59.47,33.85,63.92,3.4
292,gold coast,0,AU,1532383200,67,-28.0,153.41,62.6,8.05
293,khani,40,GE,1532383200,94,41.96,42.96,69.8,4.7
294,goderich,56,CA,1532385258,83,43.74,-81.71,73.91,5.97
295,kavaratti,92,IN,1532385259,96,10.57,72.64,82.64,24.76
296,hofn,92,IS,1532385259,100,64.25,-15.21,48.53,6.42
297,olinda,75,EC,1532383200,65,-2.03,-79.75,78.8,2.24
298,bemidji,40,US,1532384100,47,47.48,-94.89,78.8,14.99
299,gisborne,56,NZ,1532385260,66,-38.66,178.02,52.94,4.63
300,mehamn,75,NO,1532382600,76,71.03,27.85,55.4,13.87
301,college,1,US,1532383080,30,64.86,-147.8,80.6,4.63
302,staszow,0,PL,1532385261,65,50.56,21.17,70.67,12.24
303,itoman,20,JP,1532383200,88,26.12,127.67,82.4,5.82
304,san angelo,1,US,1532382660,14,31.46,-100.44,107.6,4.7
305,cascais,20,PT,1532383200,82,38.7,-9.42,66.2,5.82
306,taft,80,PH,1532385262,96,11.9,125.42,82.55,14.14
307,ekhabi,8,RU,1532385262,89,53.51,142.97,59.15,8.21
308,fereydun kenar,90,IR,1532383200,94,36.69,52.52,77.0,6.93
309,komsomolskiy,0,RU,1532385263,62,67.55,63.78,66.17,3.74
310,camacha,20,PT,1532383200,77,33.08,-16.33,71.6,5.82
311,rorvik,32,NO,1532385264,97,64.86,11.24,55.82,5.41
312,betare oya,80,CM,1532385264,98,5.6,14.08,66.8,2.17
313,palana,36,RU,1532385264,67,59.08,159.95,64.73,3.62
314,baruun-urt,92,MN,1532385264,100,46.68,113.28,59.78,9.66
315,payyannur,92,IN,1532385265,100,12.1,75.2,75.89,5.86
316,escanaba,75,US,1532382960,65,45.75,-87.06,77.0,9.17
317,waingapu,0,ID,1532385266,79,-9.65,120.26,71.12,7.54
318,chapleau,75,CA,1532383200,78,47.85,-83.4,73.4,3.36
319,bonito,68,BR,1532385266,56,-21.13,-56.49,76.43,9.44
320,lerwick,88,GB,1532384400,87,60.15,-1.15,53.6,9.17
321,abha,0,SA,1532383200,68,18.22,42.5,68.0,3.36
322,port hedland,75,AU,1532383200,87,-20.31,118.58,60.8,3.18
323,mount barker,75,AU,1532383200,87,-35.06,138.86,53.6,17.22
324,porto novo,0,BR,1532383200,53,-23.68,-45.44,71.6,3.36
325,buchloe,75,DE,1532384400,82,48.04,10.72,66.2,1.12
326,salalah,75,OM,1532382600,88,17.01,54.1,78.8,4.7
327,avera,40,US,1532382900,54,33.19,-82.53,87.8,8.05
328,los llanos de aridane,12,ES,1532383200,68,28.66,-17.92,71.6,12.75
329,saint-pierre,0,FR,1532383200,56,48.95,4.24,73.4,5.82
330,igra,0,RU,1532385271,81,57.55,53.1,53.48,2.84
331,saint-joseph,0,FR,1532383200,78,43.56,6.97,75.2,3.36
332,alofi,90,NU,1532383200,83,-19.06,-169.92,75.2,4.7
333,viedma,0,AR,1532385272,80,-40.81,-62.99,35.57,7.76
334,palaikastron,36,GR,1532385272,87,35.2,26.25,81.02,12.91
335,port moresby,8,PG,1532385272,95,-9.47,147.16,77.15,17.49
336,kirensk,0,RU,1532385273,81,57.78,108.12,53.48,3.4
337,tuensang,92,IN,1532385273,98,26.24,94.81,68.24,1.72
338,kaitangata,56,NZ,1532385273,90,-46.28,169.85,44.39,8.77
339,macas,48,EC,1532385274,89,-2.3,-78.12,64.55,3.4
340,villamontes,8,BO,1532385274,58,-21.26,-63.47,48.08,6.08
341,tura,92,IN,1532385274,99,25.52,90.21,74.72,3.18
342,lorengau,80,PG,1532385275,100,-2.02,147.27,82.55,4.29
343,malanje,0,AO,1532385275,62,-9.54,16.35,56.99,6.64
344,talnakh,0,RU,1532385275,68,69.49,88.39,45.47,10.67
345,beli potok,40,RS,1532383200,94,44.71,20.52,68.0,8.05
346,lircay,75,PE,1532383200,49,-12.99,-74.72,68.0,8.05
347,san carlos,75,VE,1532379600,70,9.66,-68.59,87.8,3.06
348,tazovskiy,8,RU,1532385277,37,67.47,78.7,54.47,6.08
349,cervo,0,BR,1532385278,84,-22.19,-46.24,53.66,2.39
350,mae sai,90,MM,1532379600,100,20.44,99.89,75.2,2.24
351,angoche,20,MZ,1532385278,97,-16.23,39.91,77.78,13.02
352,havoysund,40,NO,1532384400,87,71.0,24.66,51.8,5.82
353,siddapur,92,IN,1532385279,100,13.66,74.91,70.4,3.4
354,springbok,0,ZA,1532385221,51,-29.67,17.88,47.18,4.74
355,ginir,0,ET,1532385279,81,7.14,40.71,59.24,11.01
356,port-gentil,40,GA,1532383200,94,-0.72,8.78,73.4,10.29
357,zhuhai,0,CN,1532383200,94,40.71,112.04,68.0,4.47
358,douglas,1,US,1532382960,15,31.34,-109.55,102.2,9.17
359,dunedin,92,NZ,1532385121,100,-45.87,170.5,40.88,3.96
360,husavik,36,CA,1532385281,73,50.56,-96.99,70.94,13.8
361,matay,0,EG,1532385282,48,28.42,30.79,76.07,7.31
362,nelson bay,0,AU,1532383200,66,-32.72,152.14,48.2,2.24
363,imeni poliny osipenko,88,RU,1532385282,86,52.42,136.49,67.25,5.08
364,little current,75,CA,1532383200,73,45.98,-81.93,77.0,6.93
365,leningradskiy,36,RU,1532385283,58,69.38,178.42,54.65,8.43
366,lompoc,1,US,1532382960,73,34.64,-120.46,82.4,17.22
367,touros,44,BR,1532385284,87,-5.2,-35.46,75.71,16.04
368,baykit,88,RU,1532385284,97,61.68,96.39,54.2,5.41
369,pinawa,68,CA,1532385284,68,50.15,-95.88,71.66,13.8
370,hambantota,0,LK,1532385285,100,6.12,81.12,79.58,19.51
371,deming,1,US,1532384100,13,32.27,-107.76,102.2,9.17
372,pringsewu,24,ID,1532385285,92,-5.36,104.98,72.02,2.17
373,polyarnyy,20,RU,1532383200,93,69.2,33.45,59.0,5.08
374,kilindoni,44,TZ,1532385286,92,-7.91,39.67,77.33,21.07
375,muros,75,ES,1532383200,88,42.77,-9.06,64.4,3.36
376,menomonie,75,US,1532384100,48,44.88,-91.92,84.2,9.17
377,ixtapa,75,MX,1532382540,79,20.71,-105.21,87.8,8.05
378,nadym,12,RU,1532385287,57,65.53,72.51,65.81,2.17
379,marsabit,36,KE,1532385287,62,2.34,37.99,71.03,15.59
380,qaqortoq,40,GL,1532382600,33,60.72,-46.03,62.6,3.36
381,svencionys,100,LT,1532385288,98,55.15,26.17,64.1,4.63
382,kendari,80,ID,1532385288,99,-3.99,122.52,72.47,2.39
383,hobyo,0,SO,1532385288,77,5.35,48.53,75.53,22.19
384,ocean city,75,US,1532382960,70,30.44,-86.61,89.6,4.7
385,yar-sale,64,RU,1532385289,80,66.83,70.83,55.55,4.74
386,santa rosa,0,AR,1532385291,57,-36.62,-64.29,34.04,5.19
